id,thomas_id,api_uri,first_name,middle_name,last_name,party,twitter_account,facebook_account,facebook_id,instagram,url,rss_url,domain,dw_nominate,ideal_point,seniority,next_election,state,district,missed_votes_pct,votes_with_party_pct,chamber,fblike.16.22.5.115,twtrfol-18-23-6-2015
C001078,1959,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001078.json,Gerald,E.,Connolly,D,GerryConnolly,CongressmanGerryConnolly,1.77E+11,,http://connolly.house.gov,http://connolly.house.gov/common/rss//index.cfm?rss=44,connolly.house.gov,NA,NA,8,2014,VA,11,0,84.91,house,6846,8070
C001080,1970,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001080.json,Judy,NA,Chu,D,RepJudyChu,RepJudyChu,41228315130,repjudychu,http://chu.house.gov,http://chu.house.gov/rss.xml,chu.house.gov,NA,NA,10,2014,CA,27,5.66,96,house,8442,11530
C001083,1999,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001083.json,John,NA,Carney,D,JohnCarneyde,JohnCarneyDE,1.56E+14,johncarneyde,http://johncarney.house.gov,http://johncarney.house.gov/index.php?option=com_ninjarsssyndicator&amp;feed_id=1&amp;format=raw,johncarney.house.gov,NA,NA,6,2014,DE,1,9.43,87.5,house,6861,8601
C001084,2055,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001084.json,David,NA,Cicilline,D,RepCicilline,CongressmanDavidCicilline,1.87E+14,repdavidcicilline,http://cicilline.house.gov,http://cicilline.house.gov/rss.xml,cicilline.house.gov,NA,NA,6,2014,RI,1,3.85,98,house,4497,2709
C001087,1989,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001087.json,Rick,NA,Crawford,R,RepRickCrawford,RepRickCrawford,1.43E+14,reprickcrawford,http://crawford.house.gov,http://crawford.house.gov/news/rss.aspx,crawford.house.gov,NA,NA,6,2014,AR,1,1.89,96.15,house,4386,8714
C001090,2159,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001090.json,Matt,NA,Cartwright,D,RepCartwright,CongressmanMattCartwright,2.49E+14,repmattcartwright,http://cartwright.house.gov,http://cartwright.house.gov/rss.xml,cartwright.house.gov,NA,NA,4,2014,PA,17,1.89,92.31,house,6399,3757
C001091,2163,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001091.json,Joaquin,NA,Castro,D,JoaquinCastrotx,3.26E+14,3.26E+14,joaquincastrotx,http://castro.house.gov,http://castro.house.gov/rss.xml,castro.house.gov,NA,NA,4,2014,TX,20,0,94.34,house,49766,27961
C001092,2151,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001092.json,Chris,NA,Collins,R,RepChrisCollins,RepChrisCollins,4.67E+14,repchriscollins,http://chriscollins.house.gov,http://chriscollins.house.gov/rss.xml,chriscollins.house.gov,NA,NA,4,2014,NY,27,0,96.23,house,9699,3327
C001093,2121,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001093.json,Doug,NA,Collins,R,RepDougCollins,RepresentativeDougCollins,5.06E+14,,http://dougcollins.house.gov,http://dougcollins.house.gov/rss/press-releases.xml,dougcollins.house.gov,NA,NA,4,2014,GA,9,1.89,90.38,house,11850,3983
C001094,2103,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001094.json,Paul,NA,Cook,R,RepPaulCook,RepPaulCook,4.64E+14,RepPaulCook,http://cook.house.gov,http://cook.house.gov/rss.xml,cook.house.gov,NA,NA,4,2014,CA,8,0,96.23,house,4200,3249
